,poems,class,Emotions
293,"
Moon-Gazers

Fifteen, lost in a room Full of children learning Hindi poetry For an approaching exam. In a nasal bass Tthe teacher speaks of some besotted bird That watches the moon every moment of the night...
I stand up and ask, What does that bird do on new moon nights? Peeved by what she thinks is impudence, The teacher says the bird watches my face. The class turns all at once, stares at me. Ashamed, I shrink, I sit.
Twenty-two, lost in any space, I restlessly seek the strength Of his shoulders and I hunt Like a hungry beast to catch a glimpse Of my coal-black lover, and I crave to look once more Into his limitless eyes where I sank and never surfaced.
As I desolately count each passing hour, I become that moon-gazing bird on new moon nights, I sing the saddest songs of all time, I never ask questions...
",i,Fear
294,"
ancy

She thought she was dying--ants crawled under her flaking skin, migraines visited her at mealtimes, her tender-as-tomato breasts bruised to touch, her heart forgot its steady beat. Floundering at forty, she twisted safety pins into spirals, chewed on pencil-ends, tore down calendars, became a hurricane about the house. That wetness, with its lunar reek, never came.
Her monthly drip had disappeared. Her no-money man was back home by then-- ditched and duped by his dancer mistress. She forgave that bitch, buried the bad blood between, gave him her anklet of rubies to sell and begin some business with. He went. A week later, she received his body bag With the executioner's seal on the toe tag.
She stormed the palace, flung her other anklet at the bloody throne. The royals too saw the red. The king died of shame, the queen died of shock. On the edge, Ms. Militancy bayed for more blood. Vending vengeance, she made a bomb of her left breast and blew up the blasted city. Long after that land had turned to ashes, the rest of her plucked breast bled.
Watching that breast sprout back from its roots, the lone woman learnt to outgrow her loss. When the scars no longer showed and the faraway sea could be smelt between her legs, she dissolved in a mist of aftersmoke.
",i,Sad
295,"
Mulligatawny Dreams

anaconda. candy. cash. catamaran. cheroot. coolie. corundum. curry. ginger. mango. mulligatawny. patchouli. poppadom. rice. tatty. teak. vetiver.
i dream of an english full of the words of my language.
an english in small letters an english that shall tire a white man's tongue an english where small children practice with smooth round pebbles in their mouth to the spell the right zha an english where a pregnant woman is simply stomach-child-lady an english where the magic of black eyes and brown bodies
replaces the glamour of eyes in dishwater blue shades and the airbrush romance of pink white cherry blossom skins an english where love means only the strange frenzy between a man and his beloved, not between him and his car an english without the privacy of its many rooms an english with suffixes for respect an english with more than thirty six words to call the sea an english that doesn't belittle brown or black men and women an english of tasting with five fingers an english of talking love with eyes alone
and i dream of an english
where men of that spiky, crunchy tongue buy flower-garlands of jasmine to take home to their coy wives for the silent demand of a night of wordless whispered love . . .
",i,Sad
296,"
My Lover Speaks Of Rape

Flaming green of a morning that awaits rain And my lover speaks of rape through silences, Swallowed words and the shadowed tones Of voice. Quivering, I fill in his blanks.
Green turns to unsightly teal of hospital beds And he is softer than feathers, but I fly away To shield myself from the retch of the burns Ward, the shrill sounds of dying declarations,
The floral pink-white sad skins of dowry deaths.
Open eyes, open hands, his open all-clear soul . . .
Colorless noon filters in through bluish glass And coffee keeps him company. She chatters Away telling her own, every woman's story; He listens, like for the first time. Tragedy in
Bridal red remains a fresh, flushing bruise across Brown-yellow skinscapes, vibrant but made Muted through years of silent, waiting skin. I am absent. They talk of everyday assault that
Turns blue, violet and black in high-color symphony.
Open eyes, open hands, his open all-clear soul . . .
Blues blend to an unforgiving metropolitan black And loneliness seems safer than a gentle night In his arms. I return from the self-defence lessons:
Mistrust is the black-belted, loose white mechanism Of survival against this groping world and I am A convert too. Yet, in the way of all life, he could try
And take root, as I resist, and yield later, like the earth.
Open eyes, open hands, his open all-clear soul . . . Has he learnt to live my life? Has he learnt never to harm?
",i,Fear
297,"
Nailed

Men are afraid of any woman who makes poetry and dangerous portents. Unable to predict when, for what, and for whom she will open her mouth, unable to stitch up her lips, they silence her.
Her pet parrot developed an atrocious fetish for the flesh of sacrificial goats, so, Kulamaayi was bolted within a box and dropped in the Kaveri.
She teased and tormented his celibacy, so Miss Success-Village was thrown into a well by a wandering socialite-godman.
She was inaccessible and unattainable, so, Durga was put in an iron trunk that settled on a riverbed and even the men and women who tried to approach her were informed in a prerecorded voice that she was out of reach and network range and coverage area.
She was an outcast who had all the marks of a fiery orator who would some day run for parliament, so, a nail was driven into her head on the instructions of her brahmin fiancé and her coffin was set adrift in a wailing river.
She was black and bloodthirsty, so, even Kali found herself shut inside her shrine.
They were considerably low-risk, so most other women were locked up at home. 
",i,Fear
298,"
Narration

I'll weep to you about My landlord, and with My mature gestures-- You will understand: The torn sari, disheveled hair Stifled cries and meek submission. I was not an untouchable then.
I'll curse the skies, And shout: scream to you Words that incite wrath and You will definitely know: The priest, his lecherous eyes, Glances that disrobed, defiled. I was not polluting at four feet.
How can I say Anything, anything Against my own man?
How?
So I take shelter in silence Wear it like a mask. When alone, I stumble Into a flood of incoherencies. . .
",i,Surprise
299,"
Non-Conversations With A Lover

Don't talk to me of sudden love. . .
in our land even the monsoons come-- leisurely, strolling like decorated temple elephants (the pomp, the paraphernalia)-- after months of monotonous prayer, preparations and palpitating waits.
my darling his silence (those still shoulders) but his eyes dance his eyes dance (so wild, so wild)
so i think of raging summer storms-- like uncontrollable tuskers trampling in mast (the madness, the lust)-- across the forests of our land. . .
",i,Surprise
300,"
Not That One

Find me another word that is not so ready. I want a word that waits and weeps and hesitates, that knows of other words I kill, and grows afraid to take its place. Find me a word that has heard of a woman afraid of losing a man she does not have, find me a word that flinches at the thought of being trapped, a word that shows me stealing time, not men. Find me a word that is not so safe. A word for a woman in a forest to wake up with, a woman who knows heat and long silences and sleepless nights, a woman who works with only words. Not love, dear poet. Find me another word. 
",i,Angry
301,"
Once My Silence Held You Spellbound

You wouldn't discuss me because my suffering was not theoretical enough. Enough. Enough. Enough. Now I am theoretical enough. I am theatrical enough.
I have learnt all these big big words. I can use them with abandon. I can misuse them. I can refuse them. I can throw them about and one day, I can throw them out. I am the renegade who can drop these multi-syllable monsters for studied, stylistic effect. I am the rebel who can drop them altogether. I invent new ones every passing day. FYI, OED consults me. Roget's Thesaurus finds it tough to stay updated.
But because I use these bedeviled words the way you use me never means that I have stopped seething in anger that I have stopped swearing.
",i,Angry
302,"
Another Paradise Lost

One sleepy summer afternoon, while helping myself to a glass of chilled water, I saw a snake lying curled under the fridge. It could have been a very poisonous cobra. Very
quickly, I chose my mode of attack: Acid. Staggering, I reached for the glass bottle so that I could pour the yellow-green cheap acid on its slimy body, burning it to death.
""Stop it"", the snake hissed in pure Tamil connecting with me in the language of my prayer and poetry. ""I am an exile."" And I configured mental images of political
refugees. It wriggled out and I saw that it was balding, almost Rushdie-like, perhaps with a death sentence too. Controversy was a crowd pulling catch-phrase, to which I dutifully
succumbed. Acid bottle in hand, I heard the snake preach to me about living in detachment. ""The perfection of life is when you do not know the difference between yielding and
resisting."" The scrawny being writhed further and told me of rebirth and reincarnation. Being a writer I really wanted to take notes. Instead I began arguing. ""Shut up"", the snake said to me,
""Karma and the whole stuff that follows it is just bunkum. You, a crazed agnostic, disagree because of borrowed ideas."" Sharp movements of the red tongue terrified me. Almost sensing my fear, it
said, ""You could never challenge what you do not comprehend."" The snake spoke in circles, in patterns that could only resemble a snake swallowing its tail. Whatever. And then it
occurred to me: Speech was the oldest trap, the charming deceiver, persuasion's weapon and Satan's first area of expertise. ""Stop it"", this time I said the words. ""Tell me just your
story. Save the cant and rant for critical times."" My acidic tone gained me a menacing status and I continued, ""You are a mean serpent. Instigator. Trouble-maker. Sly liar. Undulating
temptation-provider. Unworthy reminder of the seduction of strength over matter."" It protested in a booming resonant voice, ""No, I am not any of this. I am just an exile, from
paradise. Because of your Catholic upbringing, you don't even know about the paradise lost in Hinduism."" Who bothered for history or heritage, except shriveling snakes and failed
writers? At least, we both had something in common. ""Look here comrade, my credentials are different. In heaven, I was an activist. An avid dissenter. Before the accession to heaven,
long long ago, I was a mighty monarch on earth, feared and respected. I was Nahusa the Great. My subjects were happy, the kingdom prosperous. And I ruled for twelve thousand years, until the day
when I decided that I could take leave of life. In heaven too, I was venerated. But one question had plagued me all the years of my long life, and it still tormented me in heaven. I wanted to know why
caste was there, why people suffered because of their karmas. I questioned the Gods, and the learned sages there. I asked them what would happen if an high-born did manual work just like the low-born.
I worried about the division of labor, this disparity
in dreams and destinies. You could say I was a rebel pleading for liberty-equality-fraternity. I had a riotous history of revolution. The Gods plotted against me,
decided that I was trouble. I was cursed to turn into a vile snake. I was banished from paradise. For sixty million years, I shall roam the earth, and then I may return."" This was a different case of the paradise lost.
In this tale, there was no forbidden fruit, no second fickle-minded woman. Tradition triumphed over reason and the good were cast away. I let the serpent go, happy that he had given my hungry mind a story, or
perhaps, a poem to be written on unfair days. I began to respect snakes -- the challengers of hierarchy. While I gave him the freedom of safe passage I vowed never to kill serpents. Much later
I realized brutally that this was just another occupational hazard for choosing a life where I was to be showing solidarity with activists and dissenters.
",i,Fear
303,"
ONE-Eyed

the pot sees just another noisy child the glass sees an eager and clumsy hand the water sees a parched throat slaking thirst but the teacher sees a girl breaking the rule the doctor sees a case of medical emergency the school sees a potential embarrassment the press sees a headline and a photofeature
dhanam sees a world torn in half. her left eye, lid open but light slapped away, the price for a taste of that touchable water. 
",i,Sad
304,"
Passion Becomes Piety

the guilt-glazed love lay on andal's breasts, thick and heavy as him.
frightened with force and locked away, she conjured him every night. her emperumaan, her emperor-man.
recklessness on speed-dial, she became a rape romantic. he, a bodice ripper.
their bootleg shadows burst out with the sun. people pointed fingers at parted curtains, a scandal of shape-shifters.
her hair undone, silver-grey lips, skipped meals, and nightmares of a thousand elephants...
she learned to nurse every rumour like a love-bite. in her defence, she said her darling was a deity.
they sent her packing to spend time with him murder as marriage, execution as consummation.
nothing survived them... only her poems which celebrated those fucks he doled out for her frantic devotion. 
",i,Happy
305,"
Prayers

In an arid land of arid human minds Caste, yet again authored a tragedy. He, disease wrecked, downtrodden, long-ago skinner of animals, sets out. Ten days of Typhoid, and a partial recovery. Enough reason to thank some God.
He drags himself clumsily to a nearby temple. Sadly, of an Upper-caste God. Away from the temple, he bends in supplication. Says his last prayer--Unwelcome Gratefulness. To a God who (anyway) didn't help him recover. Innocent Acts of Undulating Faith spurned Anger. Retaliation.
An irked Rajput surged forth and smote the untouchable with a iron rod. He, warrior caste lion couldn't tolerate Encroachment. At the temple. By a Dalit. Deathly howls of a feeble-voiced rent the air, fervently seeking holy intervention. God, Lifeless as ever--watched grimly with closed eyes. In resigned submission, the sick man's Life was given away. Caste--crueler than disease, emotionless, dry, took its toll Confirming traditional truths: Dalits die, due to devotion.
Unanswered questions remain; Agony is not always a forgotten memory.
Life teaches: there are different Gods at different temples. One solitary thought haunts recollection day and night. Where did this poor man's sixty-five year old soul go? To Heaven ­ to join noble martyrs who died for a cause? Or to Hell--where the Gods reside, making Caste Laws.
",i,Surprise
306,"
Princess-in-Exile

Scorned, she sought refuge in spirituality, and was carried away by a new-age guru with saffron clothes and caramel words. Years later, her husband won her back but by then, she was adept at walkouts, she had perfected the vanishing act. 
",i,Angry
307,"
Random Access Man

His voice-balloons always came out Empty as hiccups--He was not a husband who shared his secrets. He was not a husband who shared his spoonful either--on cold nights he played Gandhi to her waiting wife's body.
Denial aroused desire and lust rolled on her breasts, lust rode her hips.
Sure that he would never come she sent her dickhead husband on a wild-goose chase--Get me the testicle of a golden deer, she said, get me its musk so we can rouse your manhood.
She picked herself a random man for that first night of fervour. This one was all hands and all heads and he spoke only in whispers. He taught her her tongue. First he named the word for her womb and the word for her waters and she devoured every word and within her another woman arose, hot and forever hungry.
By the time she left this stranger's lap she had learnt all about love. First to last. Mamasita.
",i,Sad
308,"
Returning Home

And you see the two-crows-for-joy-pass that are sitting on overhead cables and the evening moon, a mere silvery slice against fluffy translucent sky.
And the remains of your school where you spent your twelve longest years and lived through everything.
And the bus-stand you had to draw for your art-class in yellow ochre or asphalt grey and the emptiness that now occupies the place where a tiny café once stood.
And the tree where they fed you lunch before you learnt to walk back home. And I thought of my parents.
Brilliant people talking of the intricacies of their life and the corruption of morals and the bygone days and hunger in their childhood and their deaddeardeparted parents as if to teach you what to talk to your children.
(And you are their child, so you speak their lines.) Still returning home,
And there are rusty mammoth girders that outline the sky like the derelicts of lost dreams and crossed hopes.
And girls so flimsy pretty yet unsafe in the little worlds of lip gloss and love affairs that you could have smoked them into oblivion.
And the dry decaying dead leaves crushed with varying noises and carrying a spent smell that clings to your hair.
And the shy forest noises that violate your fixation over sight and sound and smell and touch yes touch.
And I thought of my lover.
A primitive man who would invade your aloneness on insomniac nights
and challenge your assumptions of love and your sophistications and fill your ears with the four letter words of his ancient language that have begun to sound to you like earth songs to which your body awakens.
(And you are his love, so you listen to his lines.)
On the way home, the small lessons you learn of life. . . Love, or the promise of love, its lack of choice. This large world. And its littleness.
",i,Fear
309,"
Reverence :: Nuisance

In walls of reception counters and staircases of offices, hospitals, firms and other `secular' institutions-- pictures of Hindu Gods are painted. . .
so that casual people walking in (or up or down) fear to spit on the adorned walls.
But still looking around or climbing: you can always find the work done a irregular red border underlining the walls owing so much to betel juice and spit.
And on cheap roadside compound walls that don't bear ""Stick No Bills"" messages or cinema and political posters--the Gods once again are advertised. And captioned with legends that read ""Do not Urinate"". And yet, the Gods are covered with layers of smelly urine--they don't retaliate.
Tolerance is a very holy concept. Or like someone said, the Caste Gods deserve the treatment they get.
",i,Angry
310,"
Sage In The Cubicle

Even your tongue, Craves for the taste of tears. . .
And you are crying again. Misery is (you always believe) the only genuine Emotion and sadness, the way of the real world.
She wouldn't have any of it. Sage in the cubicle, healer of sorts. Three years your junior. She makes soul-talk Sound as prosaic as aeronautical engineering.
At the end, Her warning: `Stop this right now.'
What will you say of your feeling Living with a sister who terrorizes Even manic depressions out of your mind?
",i,Sad
311,"
Sangharsh Karna Hai

here, the hurried truth: day after day after day of battling death and keeping him at bay you became the star taking struggle in her stride and we became the body breaking free, we became the scream cutting loose from the curse of silence, we became the protest that poured like blood from a wounded night and learning from you, we became the flesh that became the fight.
",i,Happy
312,"
Screwtiny

For an affair:
Trust any man who is allergic to children, Carries a civil war in his eyes, travels a lot And speaks up when you are subjected To society's customary stone-throwing-- This hero has a history of scandals. He keeps secrets like slave-girls. Trust this man to never let you down, Or stand you up, even if it involves Rising from the dead. Amen.
For marriage:
Trust a man only after you have dunked His head in buckets of freezing water. Trust all the truth spilling out of him When you have slipped, like soap on skin, Rusty pins under his toe-nails. Eyes wide open Trust him as you take him on an electric dance That makes his penis sing. Test him to trust him. Detest him to trust him. Trust a man through faith In all forms of torture, which is how men trust each other.
",i,Fear
313,"
Apologies For Living On

I am living on because providing apologies is easy
once--
i was making choices with insanely safe ideas of fleeing-madly-and-flying-away
i was a helpless girl against the brutal world of bottom-patting-and-breast-pinching
i was craving for security the kind i had only known while aimlessly-afloat-and-speculating-in-the-womb
now--
i am locked away a terrified princess waiting for-death-and-not-any-brave-prince
i don't dream or think i just remember and wince at-voices-of-the-past-smirking-in-sarcasm
once--
i ran away in the darkness nothing beaconed me more than the prospect-of-solitude-and-the-caress-of-a-million-stars
i ran into the arms of the ravishing night nothing pulled me back: not even the memories of-love-i-had-once-known-&-stolen-kisses-savoured-for-so-long.
i ran until terror stopped my tracks for, trembling i turned and saw that the moon was
another-immodest-ogler-and-lecherous-stalker. (First published in Great Works, UK) 
",i,Sad
314,"
Six hours of chastity

The day dies abruptly.
Nalayani, most chaste of womankind, Carries the basket-case of a husband To his favorite prostitute's place.
She sits in a veranda of the brothel and Someone who saunters in mistakes the devout Wife to be a mistress of guilt, a woman of night.
She plays along, she pretends to this visiting stranger, This wayfaring man, who suffers and seeks salvation By day, but wants to buy a willing woman for the night.
The second seems as different, and as indifferent, and As she acts out a whore, money is a matter of ritual, Shining, it appears at her side. Enter the third man.
Spice vendor, smelling of sweat on cinnamon bark, Six-fingered on each hand. A wife for every finger On the right, a city to stop at, for fingers on the left.
The next is lean as a knife, he wears black. At eighteen It is a rite of passage. He twists. He turns. He shuts His eyes as he thinks he soars and spills. Exit the fourth.
To increase the number of his sins against recoiling skin, To drown his sorrow and his loss, to fight the knaves Who make him what he is, in walks the gambler.
&quot;After the fifth man, every woman becomes a temple.&quot;
In the darkest-hour before dawn, the priest enters there, Enters her, to make love to her leftovers, fidgeting in his Guilt and cowardice, like the clinking of holy cymbals.
And the sun is born into the arms of a defiled night. . .
Six men, one for every hour of night.
A waiting angel, she picks up her husband, (Who lies, clay-like and clumsy in his basket) Not bothered to serve out spite or spew her hate.
Six men, one for every hour of night. And on the way home, as his weight cuts her Shoulder blades, she laughs and cries and laughs Again, at the lightness of her burden, the end of fate. 
",i,Sad
315,"
Speech Comes After Swallowing

after many afternoons on my knees i pinned him down to lychee with a woody waft of liquorice. but centuries into servitude how does a language taste and tabulate another mighty one?
does this tongue feel under stubborn flesh, the haste and hardness of the other? learn to fight its reflexes against force? do power yoga, twisting/turning, twisting/turning, twisting/turning? does it read and research forbidden fetishes? wait for the sacred wetness? or does it grow dry too soon?
pleasure-filled, does it clap to applaud, squeal in delight, or, take shelter in open-lipped, vowel-based, aspirated exclamation?
does it remember the trips it took across this terrain of shape? does it dream of choices?
does it matter at all, to these tired tongues, that in one sucking, long-dead language semen was named after the swallowing? 
",i,Surprise
316,"
Storming In Tea-Cups

""a cup of tea is not a cup of tea. . . when you make it at twilight, just for him.""
call it a love potion. liquid dreams. scented desire. wishes boiled to a blend.
three cinnamon pods the dried darjeeling leaves milk and pearl-white cream simmering to a syrup to be filtered.
as you sweat in its vapours and imagine how the tea tastes against his lips his teeth his tongue and the pale pink insides of his throat
as you stir in the sugar and test a spoonful to see if it stings and soothes and stimulates the way you intended
as you pour it into his cup with eyes mirroring supernovas and study the desirable brown of the tea
an entire shade that fits exactly between the desert sand of your skin and the date palm of his.
almost the color of your possible child.
",i,Sad
317,"
Straight Talk

Everyone speaks of him.
Hands dancing in air they gush about the power of his words his flourishes of rhetoric his direct approach his raw reproach his felicity in ferocious Tamil his three hours in the sweltering heat rousing angry young man rally speeches that make men out of mice and marauding wildcats out of men fiery speeches that subvert and overturn and unseat and revolt spontaneous speeches that unsettle states and strongmen and sinister systems of caste and speeches that seek to settle scores delivered in his voice that makes skyscrapers fall to their knees
He is the greatest orator in our language today, they say.
I wonder at how easily led people are.
Even I loved his speeches best, until, one day, seven years ago, I fell in love with the many registers of his silences.
",i,Fear
318,"
Sun In The Mouth

And the truth scorches and singes the pink open flesh of your mouth with its pungent yellow taste, so, speaking the truth is not so easy with just one tongue, anyway.
Seeing might have been closest to truth and as Plotinus said the eye would not be able to see the sun if it was itself not sun and so seeing was understanding.
The Egyptians called the eye with the circle of the iris with the pupil in the centre as the sun in the mouth and that was their truth.
Cyclops must have had little to see in this vast world and deprived of the whole truth and that was his loss, his tragedy.
Even Argus with all his eyes couldn't escape in the end. How much truth, how many eyes of how many senses would it take to tell the truth to the lord of the third-eye?
A king of a Tamil temple city raged mad to know the truth of the scent of a woman's hair. Since money bought truth he made ready, a thousand gold coins.
And a poor poet still married to faith prayed on to Shiva, the lord of struggling survivors, lord of births and lives and deaths, lord of poor poets who gave him
a poem to be sung at the king's court.
A savant there picked a mistake like peeling the scab of a healed wound and said that the poem was wrong. He said that any woman's hair did not have a natural scent.
The lord of dances and grey ash and cremation grounds came down to challenge this stubborn man who extended his truth, even if the woman was the consort of the lord.
He would not budge even if the lord threatened to open his third eye, the eye in the forehead which would reduce him to bone-white ashes as light as the wispiest clouds. The court cowered in fright. . .
But in arrogance the savant said a mistake is a mistake even if it was the lord of the forehead-eye.
O' saint-bard and master of many wily words What do you know of truth or love, or the scent of a woman's hair? On the nights of naked sky and a fragile quarter moon, my lord, he of the deep blue throat, he of the rivers in his hair, he of the third-eye, comes to me. Before he tears the blankness of my womb, before he traces the length of my spine, the curve of my thighs, before he strokes my cheeks, he buries his head in the thousand and one nights of my long tresses and he says it smells like the wind-lost voices
of his childhood summers. 
",i,Fear
319,"
Sunset At Siem Reap

Looking lost between clouds this sun is not the lone one I know from home, the big one who takes up all the evening sky, the red one who free falls over tenements, the drama queen who dips in to dirty waters when done for the day. The sun I've known is a star. Here, this paid-to-perform sun stays still, delays disappearance, does not sink until you tame it into your sonnet about tourists who trap the sunset with their toys. Packed into a poem on the spot, Your sun still slowly enters mine and I too write of foreign, fading light. Sunset at Siem Reap. A poem from the comfort of a strange land, this guilt trip for words I failed to find at home.
",i,Sad
320,"
The Belt-Bomb Girl's Suicide Note

The King had sent captains of the army... Their sins and their lawlessness, I'll remember No more. I have blotted out, like a thick cloud, Your transgressions, and like a cloud, your sins.
My strength is made perfect in weakness, There is but a step between me and death. I'll be exalted among the nations, I'll be exalted in the earth.
I'll never leave you nor forsake you. Today, you'll be with me in Paradise. I am the way. Do business till I come. I am the way. Follow me.
Where there is no tale-bearer, strife ceases.
This is the middle way, this is the eightfold path This is the way to the end of suffering.
Right view
Right view is the precursor of the entire path. Right view provides the right practice. Right view leads to a virtuous life. Right view comes at the end of the path. Right view requires you to know that the dying always look up to the sky and therefore you must get ready to shell hospitals.
Right intention
Birth is suffering, aging is suffering, Sickness is suffering, death is suffering, Sorrow, lamentation, pain, grief and despair are suffering, Association with the unpleasant is suffering, Separation from the pleasant is suffering,
Not to get what one wants is suffering. For the instant cessation of their suffering Right intention requires the carpet bombing Of the fleeing masses.
Right speech
Right speech is about the absence of wrong speech. Abstain from falsehood, abstain from slander, Abstain from harsh speech, abstain from idle chatter. Speech can break lives and start wars, so its best to pull out of the peace talks.
Right action
Right action means refraining from unwholesome deeds that occur with the body as their main means of expression. Do not take life, Do not take what is not given, Do not indulge in sexual misconduct. The celibate Buddha and his monks never spilled any semen and it is our bounden duty to make up for that by raping every woman in sight.
Right livelihood
The Buddha mentions five kinds of livelihood which bring harm to others that must be avoided. The first tells one to avoid dealing in weapons so please get India and China to gift those toys.
Right effort
Right effort requires a wholesome form of energy. Dispelling dullness calls for a special effort to arouse energy through the visualization of a brilliant ball of light or reflection on death. For desire, a remedy of general application is meditation on impermanence to knock away the underlying property of clinging. To get rid of dullness let light into the lives of your enemies through luminous bombs
and to get rid of their desire for one another bulldoze their bunkers and this will be the last time they cling to each other.
Right mindfulness
The first step in right mindfulness involves the contemplation of the body and the last step in the mindfulness of the body involves a series of cemetery meditations which necessitates dreaming of death and decomposition of the human body. Meditate on the mass graves in Chemmani and Mulllivaikkal.
Right concentration
Right concentration implies seclusion from sensual pleasures and reining in the unruly mind. Right concentration is achieved through training so work hard to estimate the exact amount of napalm Or white phosphorous for sky-showers To grant nirvana to the Tamil people, For blessed are they who get to breathe The Laughing Buddha's Laughing Gas.
",i,Fear
321,"
The Flight Of Birds

""a poem should be wordless as the flight of birds."" --Archibald Macleish, Ars Poetica.
birds don't sing in their flight
for them flying is a muse they compose mid-air weave agnostic verse sneering haughtily at our absurdity as they float over our meaningless mosques and churches and those patrolled international borders and other disputed sites where the guns go bang bang bang all the time they swing over there losing their birdegos (ego is difficult to retain in mid-flight) wondering about and watching men plucking out and quashing the lives of other men and women and poor helpless children and they shed a birdtear or two from there a birdtear that is lost midway due to heat of some explosion down below some crazy fanatical bomb detonating killing instantly the people and the city and the forests and even the pitiable babybirds who are yet to learn to fly
they contemplate of writing poems about a bird's egg charring before even being boiled and scratch their beaks unsure if this is a metaphor or simile or other poetic device
o the birds have lots and lots and lots to write about o their writings will never be banned
they borrow freedom to write poems in the sky they come back and pass it on to us we take the song only brutally
but at least we take the song
to take the poem to unscramble the words from the song and to put it back again as song so spontaneously that it remains the poem and the song to remember forever this refrain whose melody haunts us and to hum that refrain which preserves our sanity perhaps we need to fly a trifle aimlessly like birds
or because we are humans six-sensed creatures with massive egos and massive superegos and massive egos on the ego and because of possessing gray matter what doctors call medulla oblongata we need to feel with our red hearts than think with some unlocatable mind
we need to look deeper. . . into ourselves, into eyes we need to lose ourselves then, and only then
the poems will come silent wordless as the flight of birds
",i,Sad
322,"
The Gods Wake Up

Another worst things with the Gods is that They sleep most of the time--
(they don't even dream) . If you happen to go near heaven: It is a very noisy boring place. And all that you get to hear there are-- Thirty three million synchronized godly snores.
(The Goddesses snore too) .
The Gods sleep right through the prayers Performed by the Brahmins--
(maybe they find it boring) . Births, Marriages, innumerable yagnas, Brahmins take the center-stage, all the Gods skip. Also, &quot;Om&quot; is now obsolete-- a kind of recurring mosquito buzz.
(Besides, Om is ©opyrighted) .
At times, the sleeping celestials do stir. Gods always get excited over funerals--
(they are kind of necrophilic) . The loud drums lead the dead to eternal sleep, Ancient noises herald the escaping life. This deeper music shakes the skies. That's when the Gods wake up.
(Just to receive the dead.)
",i,Surprise
323,"
Their Daughters

Paracetamol legends I know For rising fevers, as pain-relievers--
Of my people--father's father's mother's Mother, dark lush hair caressing her ankles Sometimes, sweeping earth, deep-honey skin, Amber eyes--not beauty alone they say--she Married a man who murdered thirteen men and one Lonely summer afternoon her rice-white teeth tore Through layers of khaki, and golden white skin to spill The bloodied guts of a British soldier who tried to colonize her. . .
Of my land--uniform blue open skies, Mad-artist palettes of green lands and lily-filled lakes that Mirror all--not peace or tranquil alone, he shudders--some Young woman near my father's home, with a drunken husband Who never changed; she bore his beatings everyday until on one Stormy night, in fury, she killed him by stomping his seedbags. . .
We: their daughters. We: the daughters of their soil.
We, mostly, write.
",i,Sad
324,"
Babies And The Bathwater

On some days of the week They come up with the lotuses And greet the first rays of the sun In all their fresh/flesh/flush pinkness.
Surfacing, as in a pointillist collage, Speckling the grey-green temple-tank, They float around like fish-food. Bloated, just-born, just-dead babies.
In a tight-lipped, time-tested way, The holy temple removes all traces Of these floundering ones. Chlorinated, The bathwater turns pure once more.
",i,Happy
325,"
ThisPoemWillProvokeYou

This poem is not a Hindu. This poem is eager to offend. This poem is shallow and distorted. This poem is a non-serious representation of Hinduism. This poem is a haphazard presentation. This poem is riddled. This poem is a heresy. This poem is a factual inaccuracy. This poem has missionary zeal. This poem has a hidden agenda. This poem denigrates Hindus. This poem shows them in poor light. This poem concentrates on the negative aspects of Hinduism. This poem concentrates on the evil practices of Hinduism. This poem asserts its moral right to use objectionable words for Gods. This poem celebrates Krishna's freedom to perch on a naked woman. This poem flames with the fires of a woman hungry of sex. This poem supplies sexual connotations. This poem puts the phallus back into the picture. This poem makes the shiva lingam the male sexual organ. This poem does not make the above-mentioned organ erect. This poem prides itself in its perverse mindset. This poem shows malice to Hinduism for Untouchability and misogyny. This poem declares the absence of a Hindu canon. This poem declares itself the Hindu canon. This poem follows the monkey. This poem worships the horse. This poem supersedes the Vedas and the supreme scriptures. This poem does not culture the jungle. This poem jungles the culture. This poem storms into temples with tanks. This poem stands corrected: the RSS is BJP's mother. This poem is not vulnerable. This poem is Section 153-A proof. This poem is also idiot-proof. This poem quotes kar. This poem considers Ramayana a hetero-normative novel. This poem breaches Section 295A of the Indian Penile Code. This poem is pure and total blasphemy.
This poem is a voyeur. This poem gossips about the sex between Sita and Laxman. This poem is a witness to the rape of Shurpanaka. This poem smears Rama for his suspicious mind. This poem was once forced into suttee. This poem is now taking her revenge. This poem is addicted to eating beef. This poem knows the castes of all the thirty-three million Hindu Gods. This poem got court summons for switching the castes of Gods. This poem once dated Karna who was sure he was no test-tube baby. This poem is not curious about who-was-the-father. This poem is horizontally flipped. This poem is a plagiarised version. This poem is selectively chosen. This poem is running paternity tests on Hindutva. This poem saw Godse (of the RSS) kill Gandhi. This poem is not afraid of being imprisoned. This poem does not comply to client demands. This poem is pornographic. This poem will not tender an unconditional apology. This poem will not be Penguined. This poem will not be pulped.
",i,Fear
